订单号,商品名称,商品一级分类,订单创建时间
28222040030700012,广西沙糖桔,应季水果,2018-02-28 22:20:40
28221526017700008,海南圣女果,应季水果,2018-02-28 22:15:26
228213551020300007,广西沙糖桔,应季水果,2018-02-28 21:35:51
228213551020300007,沙糖桔,应季水果,2018-02-28 21:35:51
228212950048700008,盒装龙眼,精品水果,2018-02-28 21:29:50
228212706080200004,菠萝蜜,精品水果,2018-02-28 21:27:06
228212445087200006,泰国散装龙眼,应季水果,2018-02-28 21:24:45
228212238034300013,广西国产香蕉,应季水果,2018-02-28 21:22:38
228211958044100003,云南国产香蕉,应季水果,2018-02-28 21:19:58
228211958044100003,国产红提葡萄,精品水果,2018-02-28 21:19:58
228211947029600011,粑粑柑,精品水果,2018-02-28 21:19:47
228211947029600011,皇冠梨,应季水果,2018-02-28 21:19:47
228211639055300011,特价（10元3个）,应季水果,2018-02-28 21:16:39
228211610026000009,广西沙糖桔,应季水果,2018-02-28 21:16:10
228211502008700001,特价,应季水果,2018-02-28 21:15:02
228211502008700001,广西沙糖桔,应季水果,2018-02-28 21:15:02
228211502008700001,广西国产香蕉,应季水果,2018-02-28 21:15:02
228211404022900003,甜宝草莓,应季水果,2018-02-28 21:14:04
228211150071300006,广西沙糖桔,应季水果,2018-02-28 21:11:50
228211111011500008,广西沙糖桔,应季水果,2018-02-28 21:11:11
228211111011500008,新疆若羌红枣,应季水果,2018-02-28 21:11:11
228210215021600007,广西沙糖桔,应季水果,2018-02-28 21:02:15
228205647098100011,玫珑瓜,应季水果,2018-02-28 20:56:47
228205647098100011,黑美人西瓜,应季水果,2018-02-28 20:56:47
228205535050400007,国产红提葡萄,精品水果,2018-02-28 20:55:35
228205419081300004,库尔勒香梨（二级） 斤,应季水果,2018-02-28 20:54:19
228205345069900009,东北甜瓜 斤,应季水果,2018-02-28 20:53:45
228205238009700007,广西沙糖桔,应季水果,2018-02-28 20:52:38
228205238009700007,广西国产香蕉,应季水果,2018-02-28 20:52:38
228205223058800002,金帅苹果,应季水果,2018-02-28 20:52:23
228205223058800002,高原红苹果,应季水果,2018-02-28 20:52:23
228204910015800010,沙糖桔,应季水果,2018-02-28 20:49:10
228204846096500012,广西沙糖桔,应季水果,2018-02-28 20:48:46
228204734094500004,泰国散装龙眼,应季水果,2018-02-28 20:47:34
228204705091100002,泰国散装龙眼,应季水果,2018-02-28 20:47:05
228204603036400003,广西沙糖桔,应季水果,2018-02-28 20:46:03
228204402052100006,促销香蕉,应季水果,2018-02-28 20:44:02
228204348091100011,白心火龙果小果,应季水果,2018-02-28 20:43:48
228204306097600002,中华红橙,应季水果,2018-02-28 20:43:06
228203939065500011,麒麟瓜,应季水果,2018-02-28 20:39:39
0228200410026200010,广西国产香蕉,应季水果,2018-02-28 20:04:10
0228200401051200016,粑粑柑（会员价）,精品水果,2018-02-28 20:04:01
0228200401051200016,盒装龙眼,精品水果,2018-02-28 20:04:01
0228200320003600008,精品富士苹果（全红）,应季水果,2018-02-28 20:03:20
0228200250083000009,海南圣女果,应季水果,2018-02-28 20:02:50
0228200250083000009,精品富士苹果（全红）,应季水果,2018-02-28 20:02:50
0228200242000900018,沙糖桔,应季水果,2018-02-28 20:02:42
0228200214070200007,广西国产香蕉,应季水果,2018-02-28 20:02:14
0228200054000900023,国产猕猴桃,应季水果,2018-02-28 20:00:54
0228200054000900023,沙糖桔,应季水果,2018-02-28 20:00:54
0228195935002600003,盒装龙眼,精品水果,2018-02-28 19:59:35
0228195852062100015,盒装龙眼,精品水果,2018-02-28 19:58:52
0228195528022100016,广西金桔,应季水果,2018-02-28 19:55:28
0228195528022100016,菠萝蜜,精品水果,2018-02-28 19:55:28
0228195430078200001,精品富士苹果（全红）,应季水果,2018-02-28 19:54:30
0228195400003600002,广西国产香蕉,应季水果,2018-02-28 19:54:00
0228195334097500002,广西沙糖桔,应季水果,2018-02-28 19:53:34
0228195332018200007,菠萝蜜,精品水果,2018-02-28 19:53:32
0228195134015700013,甜宝草莓,应季水果,2018-02-28 19:51:34
0228195134015700013,皇冠梨,应季水果,2018-02-28 19:51:34
0228195134002500004,江西赣南橙,应季水果,2018-02-28 19:51:34
0228195134002500004,江西赣南橙,应季水果,2018-02-28 19:51:34
0228195134002500004,国产猕猴桃,应季水果,2018-02-28 19:51:34
